"DEATHS_DIRECT","BEGIN_LAT","BEGIN_LON","BEGIN_DATE_TIME","END_DATE_TIME","TOR_F_SCALE"
2,32.357,-95.9549,"4/29/2017 16:40","4/29/2017 17:09","EF4"
2,32.3991,-95.8756,"4/29/2017 17:08","4/29/2017 17:50","EF3"
1,32.9005,-90.0257,"4/30/2017 8:23","4/30/2017 8:41","EF2"
1,45.2551,-92.1562,"5/16/2017 15:44","5/16/2017 16:38","EF2"
1,35.2402,-99.555,"5/16/2017 17:46","5/16/2017 18:12","EF2"
1,36.6441,-87.0049,"2/24/2018 15:54","2/24/2018 16:12","EF2"
1,36.3001,-90.6333,"2/24/2018 17:21","2/24/2018 17:52","EF2"
1,32.5116,-93.7375,"4/13/2018 23:22","4/13/2018 23:41","EF1"
1,41.5359,-74.0123,"5/15/2018 15:16","5/15/2018 15:17","EF0"
1,47.7814,-103.295,"7/9/2018 22:45","7/9/2018 22:48","EF2"
1,37.4065,-77.6107,"9/17/2018 14:38","9/17/2018 14:56","EF2"
2,39.27,-76.5552,"11/2/2018 20:42","11/2/2018 20:44","EF1"
1,35.6712,-86.5074,"11/6/2018 0:19","11/6/2018 0:31","EF2"
1,36.9432,-93.7216,"12/1/2018 0:30","12/1/2018 0:33","EF1"
1,33.4865,-88.4346,"2/23/2019 17:14","2/23/2019 17:32","EF3"
23,32.4571,-85.4362,"3/3/2019 14:03","3/3/2019 14:29","EF4"
1,31.428,-95.2718,"4/13/2019 12:00","4/13/2019 12:20","EF3"
1,31.5792,-95.1658,"4/13/2019 12:20","4/13/2019 12:47","EF3"
1,33.7248,-88.4409,"4/13/2019 22:06","4/13/2019 22:23","EF2"
2,32.5112,-92.6729,"4/25/2019 0:47","4/25/2019 1:00","EF3"
2,33.9711,-96.2071,"4/30/2019 20:07","4/30/2019 20:26","EF3"
1,41.4557,-94.6249,"5/22/2019 0:29","5/22/2019 0:35","EF2"
3,37.3517,-94.1858,"5/22/2019 19:58","5/22/2019 20:13","EF3"
2,35.5,-97.955,"5/25/2019 21:28","5/25/2019 21:32","EF3"
1,40.5515,-84.6911,"5/27/2019 21:02","5/27/2019 21:17","EF3"
1,32.2351,-91.7783,"11/26/2019 18:03","11/26/2019 18:15","EF2"
1,30.8832,-93.2135,"12/16/2019 11:18","12/16/2019 12:08","EF3"
2,34.6445,-87.4126,"12/16/2019 17:08","12/16/2019 17:30","EF2"
1,31.5832,-94.7558,"1/10/2020 23:33","1/10/2020 23:36","EF1"
3,32.4571,-93.5875,"1/11/2020 1:24","1/11/2020 1:32","EF2"
3,33.2379,-88.1545,"1/11/2020 11:11","1/11/2020 11:20","EF2"
1,32.4617,-87.8012,"2/6/2020 2:13","2/6/2020 2:15","EF1"
1,36.0928,-88.1189,"3/2/2020 23:05","3/2/2020 23:20","EF2"
2,36.1717,-86.9562,"3/3/2020 0:32","3/3/2020 0:54","EF3"
3,36.1767,-86.5717,"3/3/2020 0:54","3/3/2020 1:19","EF3"
19,36.1715,-85.6628,"3/3/2020 1:48","3/3/2020 1:56","EF4"
2,31.2763,-90.1732,"4/12/2020 14:39","4/12/2020 14:47","EF4"
2,31.3331,-90.0823,"4/12/2020 14:47","4/12/2020 14:51","EF3"
4,31.4641,-89.7579,"4/12/2020 15:12","4/12/2020 15:24","EF4"
3,31.6661,-89.4004,"4/12/2020 15:41","4/12/2020 15:59","EF4"
8,34.8098,-84.8377,"4/12/2020 20:45","4/12/2020 20:55","EF2"
2,34.986,-85.1907,"4/12/2020 22:19","4/12/2020 22:31","EF3"
1,34.1492,-84.8285,"4/13/2020 0:06","4/13/2020 0:21","EF1"
1,34.617,-83.084,"4/13/2020 2:21","4/13/2020 2:33","EF3"
2,33.4539,-81.2651,"4/13/2020 4:51","4/13/2020 5:16","EF3"
5,32.7045,-81.2899,"4/13/2020 5:10","4/13/2020 5:37","EF4"
1,31.075,-89.9209,"4/19/2020 18:13","4/19/2020 18:34","EF4"
1,31.3994,-85.279,"4/19/2020 22:40","4/19/2020 22:47","EF2"
2,34.0705,-96.813,"4/22/2020 15:53","4/22/2020 16:05","EF2"
3,30.8409,-95.1824,"4/22/2020 16:35","4/22/2020 17:15","EF3"
1,31.1623,-92.4582,"4/22/2020 20:26","4/22/2020 20:38","EF2"
1,30.4597,-92.2678,"5/17/2020 19:31","5/17/2020 19:41","EF3"
1,46.11,-95.9,"7/8/2020 16:15","7/8/2020 16:39","EF4"
2,35.887,-76.89,"8/4/2020 0:15","8/4/2020 0:26","EF3"
1,44.709,-98.9875,"8/30/2020 17:03","8/30/2020 17:13","EF2"
1,33.5965,-86.8256,"1/25/2021 22:40","1/25/2021 22:55","EF3"
3,33.9118,-78.5096,"2/15/2021 23:34","2/16/2021 0:02","EF3"
6,33.7026,-86.1053,"3/25/2021 13:31","3/25/2021 14:18","EF3"
1,32.0982,-94.3089,"3/27/2021 18:38","3/27/2021 19:05","EF2"
1,30.666,-91.9586,"4/10/2021 1:06","4/10/2021 1:18","EF3"
1,40.107,-75.238,"9/1/2021 16:35","9/1/2021 16:49","EF2"
1,30.4003,-88.5177,"10/27/2021 20:31","10/27/2021 20:35","EF1"
1,35.7867,-90.5511,"12/10/2021 19:07","12/10/2021 19:27","EF3"
1,35.927,-90.287,"12/10/2021 19:27","12/10/2021 19:38","EF3"
1,38.5821,-90.9455,"12/10/2021 19:32","12/10/2021 19:51","EF3"
2,36.084,-89.96,"12/10/2021 19:50","12/10/2021 20:10","EF4"
3,36.284,-89.57,"12/10/2021 20:18","12/10/2021 20:30","EF4"
6,38.757,-90.058,"12/10/2021 20:27","12/10/2021 20:35","EF3"
1,36.363,-89.394,"12/10/2021 20:30","12/10/2021 20:36","EF2"
1,36.503,-89.106,"12/10/2021 20:56","12/10/2021 21:06","EF4"
24,36.666,-88.816,"12/10/2021 21:16","12/10/2021 21:40","EF4"
1,36.817,-88.485,"12/10/2021 21:40","12/10/2021 21:58","EF4"
1,36.947,-88.201,"12/10/2021 21:58","12/10/2021 22:14","EF3"
4,37.056,-87.964,"12/10/2021 22:14","12/10/2021 22:32","EF4"
15,37.166,-87.705,"12/10/2021 22:32","12/10/2021 22:55","EF4"
11,37.31,-87.378,"12/10/2021 22:55","12/10/2021 23:10","EF4"
16,36.916,-86.618,"12/11/2021 1:09","12/11/2021 1:35","EF3"
1,37.408,-85.427,"12/11/2021 3:20","12/11/2021 3:27","EF3"
1,32.71,-87.828,"2/3/2022 13:52","2/3/2022 14:16","EF2"
6,41.2334,-94.2013,"3/5/2022 16:26","3/5/2022 16:59","EF4"
1,40.9405,-93.3854,"3/5/2022 17:33","3/5/2022 17:53","EF3"
1,33.8407,-96.8192,"3/21/2022 17:11","3/21/2022 17:15","EF2"
1,31.1346,-95.675,"3/21/2022 21:10","3/21/2022 21:30","EF2"
1,29.9473,-90.0063,"3/22/2022 18:27","3/22/2022 18:32","EF3"
2,30.6376,-85.5108,"3/31/2022 3:09","3/31/2022 3:16","EF3"
1,32.1202,-81.6561,"4/5/2022 16:18","4/5/2022 16:33","EF4"
2,44.9883,-84.8497,"5/20/2022 14:38","5/20/2022 14:57","EF3"
1,34.3908,-94.9909,"11/4/2022 16:46","11/4/2022 16:49","EF2"
1,33.0218,-94.8157,"11/4/2022 17:44","11/4/2022 18:03","EF3"
2,32.44,-86.323,"11/30/2022 3:15","11/30/2022 3:22","EF0"
2,32.221,-94.0102,"12/13/2022 16:36","12/13/2022 16:41","EF2"
1,29.9916,-90.4992,"12/14/2022 14:21","12/14/2022 14:26","EF2"
7,32.5212,-86.7312,"1/12/2023 12:40","1/12/2023 13:05","EF3"
1,33.2252,-84.2021,"1/12/2023 16:27","1/12/2023 16:35","EF2"
1,33.289,-84.093,"1/12/2023 16:35","1/12/2023 16:51","EF2"
1,33.392,-83.888,"1/12/2023 16:51","1/12/2023 16:53","EF2"
1,33.408,-83.844,"1/12/2023 16:53","1/12/2023 17:01","EF2"
1,35.609,-99.7,"2/26/2023 19:13","2/26/2023 19:18","EF2"
14,32.875,-90.9365,"3/24/2023 19:03","3/24/2023 19:25","EF4"
3,33.015,-90.6571,"3/24/2023 19:25","3/24/2023 19:51","EF3"
3,33.31,-90.04,"3/24/2023 20:12","3/24/2023 20:30","EF3"
2,33.869,-88.72,"3/24/2023 21:40","3/24/2023 22:04","EF3"
1,34.41,-87.11,"3/24/2023 23:24","3/24/2023 23:29","EF2"
4,35.1818,-90.9611,"3/31/2023 15:30","3/31/2023 16:05","EF3"
1,35.4621,-89.8323,"3/31/2023 16:48","3/31/2023 17:09","EF3"
1,42.1924,-88.94,"3/31/2023 18:37","3/31/2023 18:50","EF1"
3,38.9297,-87.9451,"3/31/2023 20:03","3/31/2023 20:21","EF3"
3,39.0313,-87.5708,"3/31/2023 21:21","3/31/2023 21:33","EF3"
2,39.2978,-86.7282,"3/31/2023 22:01","3/31/2023 22:03","EF3"
9,35.167,-88.785,"3/31/2023 22:06","3/31/2023 22:31","EF3"
1,34.208,-89.121,"4/1/2023 0:00","4/1/2023 0:21","EF2"
1,34.9746,-86.5738,"4/1/2023 2:09","4/1/2023 2:16","EF3"
1,38.757,-75.6398,"4/1/2023 16:59","4/1/2023 17:19","EF3"
5,37.25,-90.14,"4/5/2023 2:30","4/5/2023 2:56","EF2"
1,35.082,-97.634,"4/19/2023 18:30","4/19/2023 19:05","EF3"
1,26.0799,-97.2627,"5/13/2023 3:06","5/13/2023 3:08","EF1"
3,36.4135,-100.8302,"6/15/2023 16:06","6/15/2023 16:17","EF3"
4,34.12,-100.85,"6/21/2023 18:51","6/21/2023 19:09","EF3"
1,38.585,-86.8666,"6/25/2023 15:34","6/25/2023 15:45","EF2"
2,42.6535,-84.3131,"8/24/2023 20:29","8/24/2023 20:40","EF2"
